X,Y,FID,AUNumber,InstName,Category,IU,PhoneNumbe,LocationAd,LocationCi,LocationSt,LocationZi,Location_1,Title,Salutation,FirstName,MiddleInit,LastName,AdminPhone,AdminPho_1
-79.970388667443629,40.345128424632641,1,300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1 Grove Pl,Pittsburgh,PA,15236,2353, , , , , , , 
-80.064592271190563,40.400832100998763,2,300020130,ABC's for Children,"Licensed, Private Academic School",Allegheny IU 3,(412)344-4422,1630 Greentree Rd,Pittsburgh,PA,15220,0,Director,Ms,Kristen, ,Warzinski,(412)537-1413, 
-79.909877105164668,40.462299207372602,3,300020030,Abraxas Ctr Adlscnt Females,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,437 Turrett St,Pittsburgh,PA,15206,3370, , , , , , , 
-80.018506329156139,40.453464083035954,4,300020020,Abraxas III,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,936 W North Ave,Pittsburgh,PA,15233,1606, , , , , , , 
-80.051965518319307,40.494457218283188,5,203020115,Abundant Life International School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-0333,10 N Fremont Ave,Bellevue,PA,15202,0,Principal,Pr,Gary,T,Gideon, , 
-79.966192634954879,40.400247025826893,6,300020115,Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)885-5200,900 Agnew Rd,Pittsburgh,PA,15227,0,Director,Mr,William, ,Styche,(412)751-4250, 
-79.970234709678664,40.360258847920967,7,300020102,ACLD Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)881-2253,4900 Girard Road,Pittsburgh,PA,15227,1440,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
-79.970234709678664,40.360258847920967,8,300020150,ACLD Tillotson School,Approved Private School,Allegheny IU 3,(412)881-2268,4900 Girard Rd,Pittsburgh,PA,15227,0,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
-79.976052486021189,40.480074346575194,9,303020086,Adelphoi Education at Millvale,"Licensed, Private Academic School",Allegheny IU 3,(724)543-4238,608 Farragut St,Pittsburgh,PA,15209,0,Director, ,John-Michael, ,Chmiel,(412)266-6393, 
-79.999268389917134,40.456833102461268,10,300020180,AGH Center for Children,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)231-0250,621 E North Ave,Pittsburgh,PA,15212,4844,Principal,Ms,Janie, ,Costello, , 
-80.052583948205296,40.491092160254169,11,300020650,Allison House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,99 S Euclid Ave,Pittsburgh,PA,15202,3812, , , , , , , 
-79.923617608189772,40.430956168887889,12,300020380,Alt Pro Asso Comm Treat #3,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2322 Murray Ave,Pittsburgh,PA,15217,2304, , , , , , , 
-79.896777907624241,40.441891488005332,13,300020390,Alt Pro Asso Comm Treat #4,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,527 S Braddock Ave,Pittsburgh,PA,15221,3216, , , , , , , 
-79.9460954167224,40.467586802821671,14,300020410,Alt Pro Asso Comm Treat #5,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,315 N Mathilda St,Pittsburgh,PA,15224,1013, , , , , , , 
-79.921919538977889,40.465856400970999,15,300020340,Alt Pro Asso E L B Unit U,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,6017 E Liberty Blvd,Pittsburgh,PA,15206,2504, , , , , , , 
-79.873838949838841,40.458763459666294,16,300020350,Alt Pro Asso Family Dev Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,8620 Bricelyn Street Ext,Pittsburgh,PA,15221,1033, , , , , , , 
-80.005503766085781,40.334143870859542,17,300020360,Alt Pro Asso S Area Shelter,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,770 Broughon Road,Bethel Park,PA,15102,0, , , , , , , 
-79.92742763460096,40.471676147096495,18,300020500,Alt Pro Assoc G G H,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,5530 Stanton Ave,Pittsburgh,PA,15206,2029, , , , , , , 
-79.925240632142845,40.473150630348577,19,300020370,Alt Pro Assoc I T C,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,922 N Negley Ave,Pittsburgh,PA,15206,1506, , , , , , , 
-79.935436511515917,40.46098298676641,20,300020420,Alt Pro Assoc Roup,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,322 Roup Ave,Pittsburgh,PA,15232,1033, , , , , , , 
-79.883725196103157,40.288967243964983,21,300020630,Alternative Ed Program Annex,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,734 Miller Ave,Clairton,PA,15025,1302, , , , , , , 
-79.967878781726327,40.597820703362416,22,203020355,Aquinas Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)444-0722,2308 West Hardies Road,Gibsonia,PA,15044,0,Principal,Mrs,Leslie,M,Mitros, , 
-80.058264588634884,40.497859806144554,23,203020405,Assumption School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-7887,35 N Jackson Ave,Pittsburgh,PA,15202,3008,Principal,Mrs,Mary Ann, ,Miller, , 
